Rank,Player,PTS
1,Kareem Abdul-Jabbar,38387
2,Karl Malone,36928
3,Kobe Bryant,33643
4,Michael Jordan,32292
5,LeBron James,31576
6,Wilt Chamberlain,31419
7,Dirk Nowitzki,31187
8,Shaquille O'Neal,28596
9,Moses Malone,27409
10,Elvin Hayes,27313
11,Hakeem Olajuwon,26946
12,Oscar Robertson,26710
13,Dominique Wilkins,26668
14,Tim Duncan,26496
15,Paul Pierce,26397
16,John Havlicek,26395
17,Kevin Garnett,26071
18,Alex English,25613
19,Carmelo Anthony,25551
20,Reggie Miller,25279
21,Jerry West,25192
22,Vince Carter,25001
23,Patrick Ewing,24815
24,Ray Allen,24505
25,Allen Iverson,24368
26,Charles Barkley,23757
27,Robert Parish,23334
28,Adrian Dantley,23177
29,Elgin Baylor,23149
30,Dwyane Wade,22261
31,Clyde Drexler,22195
32,Gary Payton,21813
33,Larry Bird,21791
34,Hal Greer,21586
35,Kevin Durant,21506
36,Walt Bellamy,20941
37,Bob Pettit,20880
38,Pau Gasol,20837
39,David Robinson,20790
40,George Gervin,20708
41,Mitch Richmond,20497
42,Joe Johnson,20405
43,Tom Chambers,20049
44,Antawn Jamison,20042
45,John Stockton,19711
46,Bernard King,19655
47,Clifford Robinson,19591
48,Walter Davis,19521
49,Terry Cummings,19460
50,Bob Lanier,19248
51,Eddie Johnson,19202
52,Gail Goodrich,19181
53,Tony Parker,19093
54,Reggie Theus,19015
55,Jamal Crawford,19009
56,Dale Ellis,19004
57,Scottie Pippen,18940
58,Jason Terry,18881
59,Chet Walker,18831
60,Isiah Thomas,18822
61,Bob McAdoo,18787
62,Zach Randolph,18578
63,Mark Aguirre,18458
64,Dolph Schayes,18438
65,Rick Barry,18395
66,Tracy McGrady,18381
67,Julius Erving,18364
68,Glen Rice,18336
69,Dave Bing,18327
70,Dwight Howard,18114
71,World B. Free,17955
72,Calvin Murphy,17949
73,Lou Hudson,17940
74,Chris Mullin,17911
75,Lenny Wilkens,17772
76,Bailey Howell,17770
77,Magic Johnson,17707
78,Shawn Marion,17700
79,Rolando Blackman,17623
80,Otis Thorpe,17600
81,Jason Kidd,17529
82,Earl Monroe,17454
83,Russell Westbrook,17439
84,Steve Nash,17387
85,Kevin McHale,17335
86,Michael Finley,17306
87,Jack Sikma,17287
88,Kevin Willis,17253
89,Jeff Malone,17231
90,LaMarcus Aldridge,17212
91,Chris Bosh,17189
92,Chris Webber,17182
93,Grant Hill,17137
94,Bob Cousy,16960
95,Chris Paul,16959
96,Elton Brand,16827
97,Buck Williams,16784
98,Latrell Sprewell,16712
99,Tiny Archibald,16481
100,Jerry Stackhouse,16409
