Season,AwardType,Player,Age,Tm,G
2018,Most Valuable Player,James Harden,28,HOU,72
2017,Most Valuable Player,Russell Westbrook,28,OKC,81
2016,Most Valuable Player,Stephen Curry,27,GSW,79
2015,Most Valuable Player,Stephen Curry,26,GSW,80
2014,Most Valuable Player,Kevin Durant,25,OKC,81
2013,Most Valuable Player,LeBron James,28,MIA,76
2012,Most Valuable Player,LeBron James,27,MIA,62
2011,Most Valuable Player,Derrick Rose,22,CHI,81
2010,Most Valuable Player,LeBron James,25,CLE,76
2009,Most Valuable Player,LeBron James,24,CLE,81
2008,Most Valuable Player,Kobe Bryant,29,LAL,82
2007,Most Valuable Player,Dirk Nowitzki,28,DAL,78
2006,Most Valuable Player,Steve Nash,31,PHO,79
2005,Most Valuable Player,Steve Nash,30,PHO,75
2004,Most Valuable Player,Kevin Garnett,27,MIN,82
2003,Most Valuable Player,Tim Duncan,26,SAS,81
2002,Most Valuable Player,Tim Duncan,25,SAS,82
2001,Most Valuable Player,Allen Iverson,25,PHI,71
2000,Most Valuable Player,Shaquille O'Neal,27,LAL,79
1999,Most Valuable Player,Karl Malone,35,UTA,49
1998,Most Valuable Player,Michael Jordan,34,CHI,82
1997,Most Valuable Player,Karl Malone,33,UTA,82
1996,Most Valuable Player,Michael Jordan,32,CHI,82
1995,Most Valuable Player,David Robinson,29,SAS,81
1994,Most Valuable Player,Hakeem Olajuwon,31,HOU,80
1993,Most Valuable Player,Charles Barkley,29,PHO,76
1992,Most Valuable Player,Michael Jordan,28,CHI,80
1991,Most Valuable Player,Michael Jordan,27,CHI,82
1990,Most Valuable Player,Magic Johnson,30,LAL,79
1989,Most Valuable Player,Magic Johnson,29,LAL,77
1988,Most Valuable Player,Michael Jordan,24,CHI,82
1987,Most Valuable Player,Magic Johnson,27,LAL,80
1986,Most Valuable Player,Larry Bird,29,BOS,82
1985,Most Valuable Player,Larry Bird,28,BOS,80
1984,Most Valuable Player,Larry Bird,27,BOS,79
1983,Most Valuable Player,Moses Malone,27,PHI,78
1982,Most Valuable Player,Moses Malone,26,HOU,81
1981,Most Valuable Player,Julius Erving,30,PHI,82
1980,Most Valuable Player,Kareem Abdul-Jabbar,32,LAL,82
1979,Most Valuable Player,Moses Malone,23,HOU,82
1978,Most Valuable Player,Bill Walton,25,POR,58
1977,Most Valuable Player,Kareem Abdul-Jabbar,29,LAL,82
1976,Most Valuable Player,Kareem Abdul-Jabbar,28,LAL,82
1975,Most Valuable Player,Bob McAdoo,23,BUF,82
1974,Most Valuable Player,Kareem Abdul-Jabbar,26,MIL,81
1973,Most Valuable Player,Dave Cowens,24,BOS,82
1972,Most Valuable Player,Kareem Abdul-Jabbar,24,MIL,81
1971,Most Valuable Player,Kareem Abdul-Jabbar,23,MIL,82
1970,Most Valuable Player,Willis Reed,27,NYK,81
1969,Most Valuable Player,Wes Unseld,22,BAL,82
1968,Most Valuable Player,Wilt Chamberlain,31,PHI,82
1967,Most Valuable Player,Wilt Chamberlain,30,PHI,81
1966,Most Valuable Player,Wilt Chamberlain,29,PHI,79
1965,Most Valuable Player,Bill Russell,30,BOS,78
1964,Most Valuable Player,Oscar Robertson,25,CIN,79
1963,Most Valuable Player,Bill Russell,28,BOS,78
1962,Most Valuable Player,Bill Russell,27,BOS,76
1961,Most Valuable Player,Bill Russell,26,BOS,78
1960,Most Valuable Player,Wilt Chamberlain,23,PHW,72
1959,Most Valuable Player,Bob Pettit,26,STL,72
1958,Most Valuable Player,Bill Russell,23,BOS,69
1957,Most Valuable Player,Bob Cousy,28,BOS,64
1956,Most Valuable Player,Bob Pettit,23,STL,72
