Franchise,abbre,From,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,ATL,1950,5490,2721,2769,0.496,46,11,0,1
Boston Celtics,BOS,1947,5662,3339,2323,0.59,55,31,9,17
Brooklyn Nets,BKN,1968,4161,1790,2371,0.43,26,5,2,2
Charlotte Hornets,CHA,1989,2267,997,1270,0.44,10,0,0,0
Chicago Bulls,CHI,1967,4235,2188,2047,0.517,35,9,6,6
Cleveland Cavaliers,CLE,1971,3906,1833,2073,0.469,22,7,5,1
Dallas Mavericks,DAL,1981,3086,1548,1538,0.502,21,3,2,1
Denver Nuggets,DEN,1968,4160,2075,2085,0.499,33,10,0,0
Detroit Pistons,DET,1949,5549,2702,2847,0.487,41,11,5,3
Golden State Warriors,GSW,1947,5659,2729,2930,0.482,34,11,5,6
Houston Rockets,HOU,1968,4152,2181,1971,0.525,32,6,4,2
Indiana Pacers,IND,1968,4158,2134,2024,0.513,34,9,1,3
Los Angeles Clippers,LAC,1971,3907,1575,2332,0.403,13,2,0,0
Los Angeles Lakers,LAL,1949,5552,3307,2245,0.596,60,32,18,16
Memphis Grizzlies,MEM,1996,1857,771,1086,0.415,10,0,0,0
Miami Heat,MIA,1989,2431,1262,1169,0.519,20,13,5,3
Milwaukee Bucks,MIL,1969,4071,2083,1988,0.512,30,13,2,1
Minnesota Timberwolves,MIN,1990,2350,934,1416,0.397,9,1,0,0
New Orleans Pelicans,NOP,2003,1316,620,696,0.471,7,1,0,0
New York Knicks,NYK,1947,5660,2768,2892,0.489,42,8,4,2
Oklahoma City Thunder,OKC,1968,4153,2246,1907,0.541,30,11,4,1
Orlando Magic,ORL,1990,2350,1126,1224,0.479,14,5,2,0
Philadelphia 76ers,PHI,1950,5490,2820,2670,0.514,48,11,5,3
Phoenix Suns,PHX,1969,4071,2171,1900,0.533,29,6,2,0
Portland Trail Blazers,POR,1971,3908,2093,1815,0.536,34,6,3,1
Sacramento Kings,SAC,1949,5553,2533,3020,0.456,29,5,0,1
San Antonio Spurs,SAS,1968,4159,2501,1658,0.601,46,22,6,5
Toronto Raptors,TOR,1996,1859,861,998,0.463,10,5,0,0
Utah Jazz,UTA,1975,3580,1923,1657,0.537,27,9,2,0
Washington Wizards,WAS,1962,4634,2103,2531,0.454,29,8,4,1
